Epoca,Erro
0,1.0739709436814804
1,1.0735880208620008
2,1.0732121129195877
3,1.072842185699777
4,1.0724775282743622
5,1.072117639747101
6,1.071762156317281
7,1.0714108042057382
8,1.0710633692115206
9,1.0707196769748444
10,1.0703795801416
11,1.0700429499837623
12,1.0697096709021086
13,1.0693796367975554
14,1.0690527486572134
15,1.068728912932671
16,1.0684080404370089
17,1.068090045583087
18,1.0677748458476586
19,1.0674623613859497
20,1.0671525147473413
21,1.0668452306596463
22,1.0665404358604884
23,1.0662380589614524
24,1.0659380303354133
25,1.0656402820205317
26,1.0653447476364937
27,1.0650513623099196
28,1.0647600626068066
29,1.0644707864704874
30,1.0641834731640172
31,1.0638980632161923
32,1.0636144983706146
33,1.063332721537359
34,1.0630526767469008
35,1.062774309106042
36,1.062497564755625
37,1.062222390829867
38,1.061948735417174
39,1.0616765475223247
40,1.0614057770299223
41,1.0611363746690352
42,1.0608682919789554
43,1.0606014812760092
44,1.0603358956213662
45,1.0600714887898004
46,1.0598082152393504
47,1.0595460300818464
48,1.0592848890542599
49,1.0590247484908466
50,1.0587655652960446
51,1.058507296918102
52,1.0582499013234055
53,1.0579933369714798
54,1.0577375627906318
55,1.0574825381542279
56,1.057228222857559
57,1.0569745770952923
58,1.0567215614394811
59,1.0564691368181085
60,1.056217264494152
61,1.0559659060451496
62,1.0557150233432449
63,1.0554645785357055
64,1.0552145340258825
65,1.05496485245461
66,1.0547154966820214
67,1.0544664297697692
68,1.0542176149636384
69,1.053969015676532
70,1.0537205954718247
71,1.0534723180470649
72,1.053224147218016
73,1.0529760469030265
74,1.0527279811077137
75,1.052479913909954
76,1.0522318094451646
77,1.0519836318918725
78,1.051735345457555
79,1.0514869143647454
80,1.0512383028373926
81,1.0509894750874678
82,1.050740395301808
83,1.050491027629188
84,1.0502413361676135
85,1.0499912849518263
86,1.0497408379410156
87,1.0494899590067268
88,1.04923861192096
89,1.0489867603444534
90,1.0487343678151442
91,1.0484813977368
92,1.0482278133678138
93,1.0479735778101582
94,1.0477186539984957
95,1.04746300468943
96,1.0472065924509066
97,1.0469493796517455
98,1.046691328451309
99,1.0464324007892953
100,1.0461725583756567
101,1.0459117626806358
102,1.0456499749249177
103,1.045387156069892
104,1.0451232668080228
105,1.0448582675533222
106,1.0445921184319258
107,1.0443247792727655
108,1.0440562095983341
109,1.0437863686155466
110,1.0435152152066909
111,1.0432427079204611
112,1.0429688049630814
113,1.042693464189512
114,1.0424166430947355
115,1.042138298805127
116,1.0418583880699002
